emp_no,first_name,last_name,birth_date,from_date,to_date,title
238136,Yuriy,Belinskaya,1964-10-16,2001-06-12,9999-01-01,Assistant Engineer
238482,Teiji,Muntz,1964-12-27,2001-03-26,9999-01-01,Engineer
238778,Caolyn,Beidas,1964-06-05,2002-06-20,9999-01-01,Senior Staff
239059,Piyawadee,Rosca,1964-03-11,2002-04-12,9999-01-01,Technique Leader
239389,Tamiya,Christ,1964-07-07,2002-07-22,9999-01-01,Staff
239399,Felicidad,Rosis,1964-02-08,2001-10-17,9999-01-01,Senior Staff
239551,Theirry,Baar,1964-05-21,2002-01-10,9999-01-01,Staff
239646,Yagil,Acton,1964-03-12,2000-10-25,9999-01-01,Engineer
240125,Bedir,Bazelow,1964-07-09,2000-11-27,9999-01-01,Engineer
240184,Nagui,Onuegbe,1964-01-10,2001-01-16,9999-01-01,Senior Engineer
240384,Iara,Breugel,1964-04-27,2000-12-17,9999-01-01,Senior Staff
240728,Satoru,Ramaiah,1964-09-02,2001-06-26,9999-01-01,Technique Leader
241127,Turgut,Takkinen,1964-09-25,2002-03-16,9999-01-01,Senior Engineer
241451,Florian,Gerlach,1964-04-17,2001-05-02,9999-01-01,Engineer
241603,Kazuhito,Bergere,1964-04-28,2000-05-13,9999-01-01,Staff
241630,Selwyn,Templeman,1964-01-27,2000-11-19,9999-01-01,Senior Staff
241780,Sumali,Gecsel,1964-05-16,2001-02-10,9999-01-01,Technique Leader
242229,Barton,Szmurlo,1964-03-26,2002-05-18,9999-01-01,Senior Staff
243072,Sungwon,Wielonsky,1964-03-23,2000-09-10,9999-01-01,Engineer
243118,Sanjai,Pokrovskii,1964-11-08,2000-12-28,9999-01-01,Engineer
243742,Jongsuk,Zykh,1964-07-15,2002-03-11,9999-01-01,Senior Staff
243976,Murthy,Gajiwala,1964-03-13,2001-12-02,9999-01-01,Senior Staff
244679,Muzhong,DuCasse,1964-08-20,2001-02-27,9999-01-01,Senior Engineer
244918,Bedrich,Schahn,1964-06-01,2001-07-21,9999-01-01,Engineer
246313,Shin,Terwilliger,1964-01-06,2000-04-29,9999-01-01,Senior Engineer
246368,Kristof,Openshaw,1964-07-03,2000-02-01,9999-01-01,Staff
246593,Tadanori,Zhiwei,1964-02-29,2000-03-10,9999-01-01,Staff
246733,Godehard,Baranowski,1964-11-25,2002-04-15,9999-01-01,Staff
246844,Rasiah,Guting,1964-10-21,2001-03-13,9999-01-01,Technique Leader
247682,Mabhin,Narahari,1964-07-01,2001-12-01,9999-01-01,Senior Staff
248464,Rafail,Ramaiah,1964-04-30,2000-01-16,9999-01-01,Assistant Engineer
249313,Utz,Stranks,1964-03-17,2002-05-15,9999-01-01,Senior Staff
250018,Gererd,Schmezko,1964-06-20,2000-07-28,9999-01-01,Engineer
251107,Kerryn,Slobodova,1964-12-20,2001-10-09,9999-01-01,Senior Engineer
251745,Yolla,Rosch,1964-09-10,2001-12-14,9999-01-01,Senior Staff
252268,Phuoc,Veldwijk,1964-02-17,2002-06-19,9999-01-01,Assistant Engineer
252503,Miquel,Vesna,1964-10-01,2001-03-02,9999-01-01,Engineer
252810,Arnd,Farris,1964-12-29,2002-03-28,9999-01-01,Engineer
252894,Shimshon,Greibach,1964-05-06,2001-11-28,9999-01-01,Engineer
253583,Duri,Driscoll,1964-10-02,2002-07-26,9999-01-01,Engineer
253978,JoAnne,Stroustrup,1964-12-22,2001-04-28,9999-01-01,Staff
254121,Moti,Erde,1964-04-30,2001-11-03,9999-01-01,Staff
254262,Shay,Boissier,1964-11-30,2002-05-17,9999-01-01,Assistant Engineer
254431,Dipayan,Clouatre,1964-09-20,2000-03-06,9999-01-01,Engineer
254539,Sergi,Papadias,1964-02-21,2000-01-13,9999-01-01,Engineer
254616,Kristin,Baek,1964-12-20,2002-07-10,9999-01-01,Senior Staff
254629,Pragnesh,Chinal,1964-07-24,2000-01-27,9999-01-01,Senior Engineer
254653,Anestis,Salvesen,1964-11-09,2000-01-28,9999-01-01,Senior Staff
255268,Anestis,Zobel,1964-11-02,2000-08-07,9999-01-01,Engineer
255643,Limsoon,Taubman,1964-12-16,2002-03-05,9999-01-01,Engineer
255661,Xiaoshan,Rusterholz,1964-10-05,2000-03-08,9999-01-01,Staff
255960,Mari,Feinberg,1964-02-22,2000-01-15,9999-01-01,Assistant Engineer
256072,Jayesh,Yetim,1964-04-09,2000-01-31,9999-01-01,Engineer
256675,Muneo,Soicher,1964-09-14,2001-02-06,9999-01-01,Assistant Engineer
256716,Khaled,Yoshimura,1964-11-02,2001-03-16,9999-01-01,Engineer
256884,Ingmar,Marquardt,1964-12-06,2000-11-29,9999-01-01,Senior Engineer
257087,Odysseas,Waeselynck,1964-06-14,2001-06-25,9999-01-01,Technique Leader
257233,Kazuhiko,Thombley,1964-04-25,2000-08-01,9999-01-01,Engineer
257330,Tuval,Desikan,1964-07-11,2000-10-06,9999-01-01,Engineer
257632,Quingbo,Wynblatt,1964-04-28,2002-05-27,9999-01-01,Senior Staff
257774,Barry,Garnick,1964-07-02,2000-01-30,9999-01-01,Assistant Engineer
257823,Bouchung,Gewali,1964-01-02,2002-01-24,9999-01-01,Senior Staff
258087,Zita,Marrevee,1964-08-14,2002-02-13,9999-01-01,Senior Staff
258229,Heeju,Herath,1964-10-11,2002-07-12,9999-01-01,Engineer
259218,Narain,Rettelbach,1964-01-03,2001-05-03,9999-01-01,Senior Staff
260135,Stella,Luga,1964-10-07,2002-01-19,9999-01-01,Assistant Engineer
260315,Unal,Skrikant,1964-06-10,2002-06-06,9999-01-01,Senior Staff
260691,Christophe,Henders,1964-02-11,2002-07-15,9999-01-01,Technique Leader
260738,Val,Sudkamp,1964-12-21,2000-11-22,9999-01-01,Engineer
260956,Shuky,Picht,1964-12-13,2002-06-04,9999-01-01,Staff
261105,Shin,Ginneken,1964-08-24,2002-03-08,9999-01-01,Senior Staff
261521,Kayoko,Baezner,1964-05-01,2000-05-08,9999-01-01,Engineer
261634,Torsten,Naumovich,1964-03-25,2001-07-23,9999-01-01,Staff
262085,Pohua,Oberman,1964-06-16,2002-02-05,9999-01-01,Senior Staff
262329,Randi,Kaelbling,1964-04-09,2001-11-21,9999-01-01,Senior Staff
262421,Edwin,Chinen,1964-07-16,2000-07-06,9999-01-01,Senior Engineer
262472,Hugh,Gips,1964-07-16,2000-12-03,9999-01-01,Staff
262540,True,Bisiani,1964-12-20,2002-03-31,9999-01-01,Technique Leader
262795,Franziska,Eugenio,1964-10-08,2000-12-17,9999-01-01,Senior Engineer
262835,Nigel,Manders,1964-09-09,2001-06-13,9999-01-01,Senior Engineer
263114,Karoline,Takkinen,1964-11-04,2000-05-24,9999-01-01,Staff
263700,Billie,Breugel,1964-12-06,2000-08-06,9999-01-01,Senior Staff
263786,Caolyn,Waeselynck,1964-01-30,2002-03-25,9999-01-01,Staff
264721,Younwoo,Brattka,1964-07-01,2001-02-15,9999-01-01,Senior Engineer
265180,Leif,Pena,1964-09-13,2000-05-05,9999-01-01,Staff
265580,Remco,Szemeredi,1964-06-10,2001-02-07,9999-01-01,Staff
266035,Panayotis,Ranta,1964-09-02,2001-05-13,9999-01-01,Senior Engineer
266899,Aksel,Lanteri,1964-09-19,2000-07-19,9999-01-01,Senior Staff
267654,Zhiwei,Murtafg,1964-12-13,2000-01-29,9999-01-01,Staff
267981,Kazuhisa,Masaki,1964-04-02,2001-11-25,9999-01-01,Senior Staff
267999,Mack,Pargas,1964-09-16,2001-05-22,9999-01-01,Staff
268193,Guadalupe,Siepmann,1964-07-05,2000-01-06,9999-01-01,Senior Staff
268622,Weidon,Shihab,1964-06-07,2000-03-02,9999-01-01,Engineer
268715,Jaewoo,Peyn,1964-07-13,2001-05-25,9999-01-01,Staff
269966,Arra,Vadhan,1964-10-11,2000-12-20,9999-01-01,Senior Staff
269983,Oguz,Narwekar,1964-10-10,2000-01-02,9999-01-01,Staff
270071,Ung,Parveen,1964-08-18,2001-04-14,9999-01-01,Staff
270137,Otilia,Luby,1964-10-01,2001-06-13,9999-01-01,Senior Staff
270446,Christfried,Krybus,1964-12-06,2000-12-10,9999-01-01,Senior Staff
270751,Mansur,Cochrane,1964-12-05,2000-01-17,9999-01-01,Staff
272301,Chenxi,Roohalamini,1964-02-07,2000-09-15,9999-01-01,Engineer
272387,Guozhong,Schwabacher,1964-11-23,2001-01-12,9999-01-01,Engineer
272920,Kristina,Kalloufi,1964-08-22,2001-11-22,9999-01-01,Senior Engineer
274703,Youjian,Hockney,1964-07-12,2000-08-12,9999-01-01,Engineer
275058,Zvonko,Buchter,1964-11-22,2000-01-27,9999-01-01,Engineer
275197,Brendon,Yurek,1964-06-10,2000-08-13,9999-01-01,Senior Staff
275416,Tesuya,Gecseg,1964-04-25,2001-11-15,9999-01-01,Senior Staff
276400,Utpal,Pouyioutas,1964-08-28,2001-05-29,9999-01-01,Engineer
277067,Kwangho,Pargas,1964-09-19,2000-01-11,9999-01-01,Staff
277149,Kellie,Spinelli,1964-05-31,2001-11-06,9999-01-01,Senior Staff
277168,Laurentiu,Ramamoorthy,1964-06-17,2002-04-22,9999-01-01,Engineer
277697,Goetz,Marakhovsky,1964-03-03,2000-08-23,9999-01-01,Engineer
277763,Gonzalo,Cappelletti,1964-05-27,2000-12-04,9999-01-01,Engineer
277956,Armond,Staylopatis,1964-04-19,2001-01-17,9999-01-01,Assistant Engineer
278568,Hugo,McAlpine,1964-10-30,2001-07-22,9999-01-01,Senior Staff
278941,Yakkov,Karcich,1964-07-05,2000-01-04,9999-01-01,Staff
279681,Wonhee,Falster,1964-09-15,2002-07-05,9999-01-01,Assistant Engineer
280862,Leen,Sigstam,1964-05-05,2002-02-05,9999-01-01,Senior Staff
281178,Lucien,Murtagh,1964-02-02,2002-05-05,9999-01-01,Senior Engineer
282311,Horward,Sidou,1964-06-05,2001-03-17,9999-01-01,Senior Staff
282475,Marlo,Jiafu,1964-12-03,2001-03-07,9999-01-01,Senior Staff
283645,Sham,Thorensen,1964-06-11,2001-11-25,9999-01-01,Engineer
283735,Yinlin,Porotnikoff,1964-02-21,2000-02-08,9999-01-01,Engineer
283878,Yechiam,Halloran,1964-09-16,2000-03-14,9999-01-01,Engineer
284183,Martins,Talmor,1964-07-29,2000-11-16,9999-01-01,Engineer
284499,Stella,Quittner,1964-05-15,2001-04-16,9999-01-01,Staff
284766,Kwangho,Cairo,1964-06-06,2000-02-04,9999-01-01,Senior Staff
286442,Aamer,Georg,1964-08-04,2000-01-07,9999-01-01,Technique Leader
286689,Ebru,Bellmore,1964-04-18,2000-02-03,9999-01-01,Engineer
287194,Narain,Bashian,1964-01-16,2000-07-08,9999-01-01,Senior Engineer
287525,Leszek,Fontan,1964-04-29,2001-10-14,9999-01-01,Staff
288111,Miomir,Griswold,1964-06-02,2000-01-17,9999-01-01,Senior Engineer
288391,Temple,Zongker,1964-10-07,2000-03-21,9999-01-01,Senior Engineer
288440,Shim,Bael,1964-06-15,2002-06-20,9999-01-01,Staff
289217,Guther,DasSarma,1964-10-01,2001-11-09,9999-01-01,Assistant Engineer
289274,Gino,Shokrollahi,1964-06-10,2000-01-22,9999-01-01,Staff
290308,Sandeepan,Hettesheimer,1964-04-26,2000-01-04,9999-01-01,Engineer
290364,Mads,Wilfing,1964-12-03,2001-12-03,9999-01-01,Engineer
290458,Dayanand,Ratnaker,1964-11-25,2000-09-18,9999-01-01,Engineer
290618,Sastry,Stanfel,1964-02-24,2002-02-16,9999-01-01,Senior Staff
290668,Shigeaki,Maccarone,1964-03-02,2001-07-28,9999-01-01,Senior Staff
290718,Sajjan,Godskesen,1964-11-27,2002-07-24,9999-01-01,Staff
290744,Arnould,Doering,1964-09-20,2002-01-09,9999-01-01,Engineer
290839,Guoxiang,Aamodt,1964-04-14,2001-05-25,9999-01-01,Staff
290889,Xiadong,Jansen,1964-05-23,2000-08-16,9999-01-01,Engineer
291731,Yongdong,Otillio,1964-12-04,2000-06-17,9999-01-01,Staff
292069,Sarita,Ghemri,1964-01-14,2000-06-16,9999-01-01,Senior Engineer
292078,Guozhong,Einsfeld,1964-04-10,2001-02-26,9999-01-01,Technique Leader
292461,Sedat,Fandrianto,1964-12-19,2000-07-28,9999-01-01,Senior Staff
292793,Lokesh,Meszaros,1964-11-18,2000-09-22,9999-01-01,Engineer
293384,Tristan,Laurillard,1964-01-13,2001-02-19,9999-01-01,Technique Leader
293403,Shahid,Versino,1964-07-01,2000-01-04,9999-01-01,Engineer
293791,Yakkov,Dalphin,1964-04-03,2001-09-12,9999-01-01,Assistant Engineer
293948,Lihong,Pero,1964-09-02,2001-09-16,9999-01-01,Technique Leader
294187,Marie,Liesche,1964-10-01,2002-05-22,9999-01-01,Senior Staff
294455,Anestis,Pehl,1964-12-05,2001-08-05,9999-01-01,Staff
294972,Manohar,Kavraki,1964-08-17,2002-06-07,9999-01-01,Senior Engineer
296090,Adel,Kusakabe,1964-02-23,2000-02-10,9999-01-01,Senior Staff
296945,Arvind,Oskamp,1964-05-19,2000-10-23,9999-01-01,Engineer
297083,Mohit,Wielonsky,1964-08-30,2000-01-27,9999-01-01,Senior Staff
297989,Jaana,Serna,1964-02-18,2000-12-20,9999-01-01,Engineer
298809,Hidde,Yetim,1964-07-27,2001-06-04,9999-01-01,Staff
299840,Shimshon,Furedi,1964-03-27,2001-11-18,9999-01-01,Engineer
400143,Salvador,Baik,1964-05-12,2000-10-31,9999-01-01,Staff
400464,Hyuckchul,Picaronny,1964-08-11,2000-01-16,9999-01-01,Staff
402610,Ipke,Litecky,1964-11-25,2001-05-24,9999-01-01,Engineer
404800,Gil,Bharadwaj,1964-01-07,2000-07-16,9999-01-01,Assistant Engineer
405112,Valeri,Varker,1964-10-12,2001-05-18,9999-01-01,Senior Staff
405169,Kasidit,Hutter,1964-07-16,2000-04-21,9999-01-01,Engineer
405206,Carrsten,Biran,1964-07-12,2001-08-14,9999-01-01,Senior Staff
405217,Harjit,Nollmann,1964-05-03,2001-08-27,9999-01-01,Engineer
406513,Luisa,England,1964-06-26,2001-02-23,9999-01-01,Senior Staff
406534,Hiroyasu,Mamelak,1964-01-06,2001-07-07,9999-01-01,Staff
407042,Mong,Wiegley,1964-09-06,2000-01-18,9999-01-01,Staff
407690,Atilio,Kropp,1964-07-04,2001-08-15,9999-01-01,Senior Staff
407707,Martine,Beutelspacher,1964-08-07,2001-01-09,9999-01-01,Senior Engineer
408049,Gererd,Tramer,1964-11-21,2001-01-05,9999-01-01,Senior Staff
408436,Bilhanan,Bressoud,1964-08-02,2000-03-16,9999-01-01,Staff
408681,Goncalo,Schwabacher,1964-05-27,2001-06-30,9999-01-01,Senior Engineer
409251,Bikash,Peron,1964-10-07,2000-08-02,9999-01-01,Senior Staff
409382,Dzung,Gyimothy,1964-02-18,2000-03-14,9999-01-01,Engineer
409587,Baruch,Apsitis,1964-03-31,2000-11-26,9999-01-01,Senior Staff
409641,Lakshmi,Cochrane,1964-04-21,2001-12-03,9999-01-01,Staff
409860,Aris,Desikan,1964-10-16,2001-07-08,9999-01-01,Assistant Engineer
410770,Mang,Rahimi,1964-12-03,2001-06-06,9999-01-01,Engineer
410853,Alejandra,Nergos,1964-11-23,2001-10-23,9999-01-01,Senior Staff
411217,Piyawadee,Sinicrope,1964-12-01,2002-07-12,9999-01-01,Engineer
411630,Radhakrishnan,Murillo,1964-02-25,2002-06-27,9999-01-01,Technique Leader
411899,Toshiko,Marwedel,1964-11-26,2001-12-19,9999-01-01,Engineer
412814,Khalid,Dahlbom,1964-04-27,2001-01-09,9999-01-01,Technique Leader
413123,Dante,Makrucki,1964-03-06,2000-10-21,9999-01-01,Engineer
413845,Mabry,Murthy,1964-09-25,2000-03-07,9999-01-01,Senior Staff
413996,Mohua,Schapire,1964-06-23,2000-01-10,9999-01-01,Senior Staff
414529,Remko,Hiltgen,1964-08-05,2002-01-17,9999-01-01,Engineer
415265,Alain,Birge,1964-04-11,2001-11-13,9999-01-01,Senior Staff
415573,Joydip,Murillo,1964-11-21,2000-11-23,9999-01-01,Senior Staff
415669,Elzbieta,Schlumberger,1964-04-30,2000-11-15,9999-01-01,Engineer
415718,Kristin,Lukaszewicz,1964-07-18,2001-08-26,9999-01-01,Senior Staff
415766,Kamran,Penttonen,1964-12-16,2002-07-23,9999-01-01,Senior Staff
415972,Terresa,Thorensen,1964-05-10,2000-04-14,9999-01-01,Assistant Engineer
416412,Boaz,Famili,1964-02-01,2000-11-29,9999-01-01,Engineer
416910,Yoshinari,Mapelli,1964-10-15,2001-11-12,9999-01-01,Assistant Engineer
417621,Premal,Spinelli,1964-06-08,2002-06-04,9999-01-01,Senior Staff
418435,Makato,Erev,1964-02-22,2000-06-06,9999-01-01,Staff
418875,Elgin,Asser,1964-12-14,2000-06-28,9999-01-01,Senior Staff
419995,Constantijn,Harbusch,1964-02-05,2000-03-07,9999-01-01,Senior Engineer
420503,Francesca,Puppo,1964-04-26,2000-12-23,9999-01-01,Senior Staff
420548,Muneo,Erev,1964-05-09,2000-01-30,9999-01-01,Staff
420568,Subir,Solares,1964-03-16,2001-03-03,9999-01-01,Engineer
420651,Kiyotoshi,Munch,1964-04-21,2001-05-13,9999-01-01,Senior Staff
420920,Atreye,Takkinen,1964-06-30,2000-01-09,9999-01-01,Senior Engineer
420972,Nalini,Portugali,1964-08-09,2000-03-24,9999-01-01,Senior Engineer
421085,Bernardo,Brobst,1964-01-18,2000-01-03,9999-01-01,Engineer
421827,Mariangiola,Kaiser,1964-02-02,2001-01-15,9999-01-01,Engineer
421845,Stevo,Zongker,1964-07-23,2001-03-10,9999-01-01,Senior Staff
421882,Mamdouh,Facello,1964-01-12,2001-05-22,9999-01-01,Assistant Engineer
421919,Menkae,Ranka,1964-06-23,2001-10-25,9999-01-01,Senior Staff
421990,Sariel,Lorin,1964-05-06,2000-11-24,9999-01-01,Staff
422127,Emdad,Kushnir,1964-06-03,2000-01-26,9999-01-01,Staff
422164,Hugo,Ratnaker,1964-03-11,2000-10-04,9999-01-01,Staff
422318,DAIDA,Stanger,1964-04-06,2000-06-23,9999-01-01,Technique Leader
422486,Gor,Bahr,1964-07-28,2001-02-10,9999-01-01,Engineer
423228,Jacopo,Polupanov,1964-12-21,2002-03-02,9999-01-01,Senior Staff
423353,Gregory,Denos,1964-02-15,2000-07-05,9999-01-01,Engineer
423901,Yoshinari,Masada,1964-04-26,2001-10-31,9999-01-01,Engineer
424715,Stafford,Deyuan,1964-01-13,2000-01-17,9999-01-01,Engineer
424743,Qiwen,Mukaidono,1964-09-14,2000-03-31,9999-01-01,Senior Staff
424978,Baocai,Jullig,1964-06-24,2000-01-12,9999-01-01,Senior Staff
425386,Kristof,Shackel,1964-12-25,2002-04-22,9999-01-01,Engineer
425597,Valter,Keirsey,1964-11-11,2000-01-09,9999-01-01,Staff
425859,Lansing,Serov,1964-07-11,2001-03-04,9999-01-01,Engineer
426377,Sangeeta,Conry,1964-05-28,2001-06-04,9999-01-01,Senior Staff
426547,Adamantios,Syrzycki,1964-12-04,2000-08-25,9999-01-01,Engineer
426806,Changho,Yemenis,1964-11-01,2002-01-16,9999-01-01,Senior Staff
426814,Shmuel,Besselaar,1964-07-24,2001-11-03,9999-01-01,Senior Staff
427377,Fatemeh,Servi,1964-03-27,2001-11-18,9999-01-01,Senior Staff
428114,Koldo,Cusworth,1964-04-22,2000-04-29,9999-01-01,Senior Staff
428227,Leon,Salinas,1964-01-09,2002-02-28,9999-01-01,Engineer
428637,Shih,Serre,1964-04-14,2001-12-02,9999-01-01,Assistant Engineer
430599,Berhard,Spinelli,1964-12-13,2001-02-25,9999-01-01,Engineer
431052,Harngdar,Deverell,1964-04-22,2001-09-16,9999-01-01,Engineer
431182,Kiam,Zschoche,1964-12-17,2000-01-04,9999-01-01,Engineer
431684,Nishit,Setlzner,1964-02-07,2001-02-22,9999-01-01,Staff
431875,Teruyuki,Quaggetto,1964-02-21,2002-04-13,9999-01-01,Staff
432024,Rimli,Hiraishi,1964-07-09,2000-09-14,9999-01-01,Engineer
432253,Theron,Hiroyama,1964-08-21,2000-10-28,9999-01-01,Engineer
432736,Adit,Rohrbach,1964-10-25,2000-01-03,9999-01-01,Senior Staff
432746,Hitofumi,Yoshizawa,1964-02-01,2001-04-28,9999-01-01,Staff
432860,Aloys,Rosin,1964-08-23,2001-01-19,9999-01-01,Engineer
434394,Fumitaka,Wroclawski,1964-07-27,2002-02-20,9999-01-01,Engineer
434530,Keiichiro,Stentiford,1964-04-27,2000-09-21,9999-01-01,Staff
434641,Uno,Sooriamurthi,1964-09-05,2000-09-02,9999-01-01,Senior Staff
434779,Yinghua,Czap,1964-08-02,2001-12-13,9999-01-01,Staff
434826,Zito,Androutsos,1964-04-07,2000-03-02,9999-01-01,Senior Staff
435404,Hideyuki,Lipner,1964-09-19,2001-03-08,9999-01-01,Engineer
435508,Constantino,Dulay,1964-07-03,2000-12-08,9999-01-01,Engineer
435767,Susanta,Peha,1964-09-26,2001-06-16,9999-01-01,Staff
435891,Sachin,Cmelik,1964-02-07,2000-08-22,9999-01-01,Senior Staff
435965,Kauko,Felcyn,1964-01-01,2001-05-03,9999-01-01,Senior Staff
436276,Berto,Hammerschmidt,1964-09-09,2000-05-05,9999-01-01,Engineer
436476,Jackson,Ullian,1964-12-31,2002-02-23,9999-01-01,Engineer
436745,Bernd,Fioravanti,1964-10-18,2000-06-17,9999-01-01,Senior Staff
437300,Khun,Luef,1964-11-03,2000-01-02,9999-01-01,Senior Staff
438017,Tze,Swift,1964-06-15,2000-01-08,9999-01-01,Staff
438336,Hausi,Przulj,1964-02-29,2000-01-07,9999-01-01,Engineer
439093,Sushant,Qiwen,1964-05-10,2001-05-24,9999-01-01,Staff
441507,Arunas,Copas,1964-10-29,2000-05-11,9999-01-01,Engineer
441662,Hongzhu,Chenney,1964-02-08,2000-09-20,9999-01-01,Staff
441807,Seshu,Gruenwald,1964-10-05,2001-12-23,9999-01-01,Senior Staff
443277,Remmert,Rande,1964-11-28,2000-09-01,9999-01-01,Senior Engineer
443587,Abdelkader,Bahr,1964-11-06,2001-04-24,9999-01-01,Technique Leader
444273,Chirstian,Birrer,1964-10-16,2000-02-29,9999-01-01,Engineer
444438,Chaoyi,Weedman,1964-03-19,2001-11-19,9999-01-01,Engineer
445782,Kersti,Delaune,1964-05-27,2001-05-16,9999-01-01,Senior Staff
446944,Stamatina,Herber,1964-05-21,2001-12-30,9999-01-01,Senior Staff
447374,Uinam,Chaudhury,1964-11-23,2002-07-07,9999-01-01,Engineer
447911,Jayson,Siprelle,1964-12-24,2000-10-07,9999-01-01,Engineer
447946,Arco,Ligten,1964-07-30,2000-02-28,9999-01-01,Senior Engineer
448100,Baziley,Foote,1964-12-08,2001-03-20,9999-01-01,Engineer
448177,Adib,Wuwongse,1964-07-20,2000-11-08,9999-01-01,Staff
448658,Gal,Baba,1964-12-25,2001-06-30,9999-01-01,Senior Engineer
449120,Valeri,Deverell,1964-08-12,2000-08-23,9999-01-01,Engineer
449808,Ult,Rissanen,1964-10-29,2000-07-11,9999-01-01,Assistant Engineer
450236,Bilhanan,Pezzoli,1964-07-07,2001-08-20,9999-01-01,Staff
450274,Zhiguo,Pews,1964-03-24,2001-09-06,9999-01-01,Senior Staff
450871,Sverrir,Winter,1964-08-21,2001-11-26,9999-01-01,Engineer
450925,Yoshinari,Lung,1964-06-18,2000-09-15,9999-01-01,Engineer
451104,Xuejia,Gecsel,1964-12-03,2000-04-24,9999-01-01,Staff
451568,Elvia,Segond,1964-09-06,2002-05-23,9999-01-01,Engineer
451692,Jiang,Montemayor,1964-06-06,2000-04-07,9999-01-01,Staff
452334,Doowon,Soicher,1964-10-21,2002-05-28,9999-01-01,Senior Staff
452420,Mrinalini,Ossenbruggen,1964-12-09,2001-04-27,9999-01-01,Senior Engineer
452844,Sungwon,Nitta,1964-12-03,2001-07-21,9999-01-01,Senior Staff
452916,Rosalyn,Shinomoto,1964-12-16,2000-01-24,9999-01-01,Senior Staff
453016,Marjo,Schach,1964-10-21,2001-07-11,9999-01-01,Assistant Engineer
453200,Khun,Yurov,1964-06-23,2000-10-03,9999-01-01,Assistant Engineer
453657,Kayoko,Lukaszewicz,1964-01-24,2001-09-02,9999-01-01,Engineer
454064,Gita,Dichev,1964-12-25,2000-02-01,9999-01-01,Senior Staff
454140,Geoffrey,Rettelbach,1964-09-11,2001-09-19,9999-01-01,Senior Staff
454230,Chuanyi,Zongker,1964-08-13,2001-01-15,9999-01-01,Engineer
455234,Akeno,Melski,1964-01-17,2000-02-07,9999-01-01,Technique Leader
456593,Jaroslava,Suppi,1964-08-12,2000-03-03,9999-01-01,Senior Staff
456727,Ung,Passafiume,1964-04-27,2000-01-21,9999-01-01,Staff
456796,Stein,Cyne,1964-08-15,2001-06-01,9999-01-01,Engineer
457183,Stamatina,Sooriamurthi,1964-12-23,2000-01-10,9999-01-01,Engineer
457253,Shietung,Lanphier,1964-06-07,2000-03-21,9999-01-01,Engineer
457404,Yechezkel,Gerteisen,1964-12-22,2002-03-07,9999-01-01,Senior Staff
457439,Kaijung,Berendt,1964-11-13,2000-02-14,9999-01-01,Engineer
457735,Ung,Junet,1964-10-01,2000-02-26,9999-01-01,Staff
458278,Toong,Lichtman,1964-11-04,2001-08-27,9999-01-01,Staff
458607,Jianwen,Varley,1964-02-21,2002-01-31,9999-01-01,Engineer
458839,Lakshmi,Steinauer,1964-10-11,2000-08-25,9999-01-01,Engineer
459002,Shietung,Glowinski,1964-01-17,2000-07-05,9999-01-01,Engineer
459527,Chrisa,Stifter,1964-05-06,2000-01-24,9999-01-01,Engineer
460319,Arvind,Falck,1964-04-12,2001-04-07,9999-01-01,Engineer
460594,Saeed,Munoz,1964-10-17,2001-10-23,9999-01-01,Engineer
460730,Anestis,Luiz,1964-09-19,2001-11-09,9999-01-01,Assistant Engineer
461345,Hilari,Polajnar,1964-03-24,2000-10-14,9999-01-01,Senior Staff
461354,Mohammed,Cooke,1964-04-17,2000-03-09,9999-01-01,Engineer
461407,Bokyung,Makinen,1964-07-09,2000-07-30,9999-01-01,Engineer
461857,Oscar,Ouhyoung,1964-10-20,2001-02-10,9999-01-01,Senior Engineer
462619,Gor,Callaway,1964-03-06,2001-11-10,9999-01-01,Engineer
463996,Przemyslawa,Ballarin,1964-11-15,2002-07-12,9999-01-01,Senior Staff
465010,Ziyad,Emmerich,1964-02-06,2001-08-06,9999-01-01,Engineer
466943,Mayuri,Angelov,1964-04-30,2002-03-07,9999-01-01,Senior Staff
467531,Matk,Zongker,1964-05-15,2001-08-20,9999-01-01,Technique Leader
468080,Kitty,Setlzner,1964-01-19,2002-03-28,9999-01-01,Senior Staff
469113,Seongbae,Matteis,1964-01-18,2000-10-06,9999-01-01,Staff
469309,Janalee,Ponthieu,1964-06-24,2001-01-23,9999-01-01,Senior Staff
469425,Teunis,Kampfer,1964-09-21,2001-04-18,9999-01-01,Staff
469473,Chuanyi,Alameldin,1964-09-20,2001-10-17,9999-01-01,Engineer
470129,Katsuo,Stille,1964-03-19,2000-01-27,9999-01-01,Staff
470134,Heping,Lammel,1964-06-14,2000-07-24,9999-01-01,Engineer
470527,Gadiel,Gruenwald,1964-07-06,2000-01-01,9999-01-01,Staff
470585,Marlo,Dratva,1964-03-15,2000-01-27,9999-01-01,Technique Leader
471146,Georg,Cardazo,1964-04-04,2000-01-22,9999-01-01,Staff
471677,Charmane,Bennet,1964-10-27,2000-04-03,9999-01-01,Senior Staff
471722,Urs,Rathonyi,1964-03-31,2001-02-04,9999-01-01,Staff
472301,DeForest,Brobst,1964-11-05,2000-09-26,9999-01-01,Engineer
472351,Weicheng,Kobara,1964-01-22,2000-01-23,9999-01-01,Staff
472579,Gaetan,Vendrig,1964-12-12,2000-01-03,9999-01-01,Technique Leader
